paper,case.study,old.case.study,new.case.study,efres.division.code,efres.group.code,efres.division,efres.group,efres.class,variable,sign,country,country2,continent,experiment.type,system.type,exper.system,experiment.design,other.fb,taxa,genera,order,origin,size.area,tank.size,water.volume,water.depth,sediment.depth,chlorophyll,nitrogen,phosphorous,carbon,o2,temperature,pH,soft.tissue,dry.weight,weight.g.m2,total.weight,number.fb,density.fb.volume,density.fb.area,length,test,significant,N_effect,X_effect,S_effect,SE_effect,N_ctr,X_ctr,S_ctr,SE_ctr,mul.out,yi,vi
P1361,P1361.1,P1361.1.1,P1361.1,1,1.2,organisms,zooplankton,,Zooplankton.fecundity.rate.system,-1,Poland,Poland,Euro,Meso,Lake,LakeMeso,Repeated,N,Dreissena.polymorpha,Dreissena,Myida,non.native,na,na,300,na,na,0.02826,1.41,0.06,na,9.33,18.67,na,na,na,250,na,200,0.66,332,1.5,anova,Y,3,3.4,0.12,0.0693,3,0.83,0.21,0.1212,na,-12.02154192,12.46978917
P1595,P1595.1,na,P1595.1,1,1.2,organisms,zooplankton,,Biodeposit.content.system,1,Germany,Germany,Euro,Meso,Lake,LakeMeso,Independent,N,Dreissena.polymorpha,Dreissena,Myida,non.native,na,0,na,2,na,na,na,na,na,na,na,na,na,na,na,na,15,240,6817,1.5,t.test,Y,5,41.33,8.84,1.38,5,21.87,2.47,1.1,na,2.708184435,0.69303989
P4857,P4857.1,P4857.1.3,P4857.2,1,1.3,organisms,algae,,Grazing.rate.algae.system,1,Germany,Germany,Euro,Lab,Lab,Lab,Independent,N,Dreissena.polymorpha,Dreissena,Myida,non.native,na,0.28,10,na,na,na,na,na,na,na,30,na,na,na,na,na,22,2.2,na,0.8,na,na,3,0.45,0.3,0.45,20,11.59,3.42,0.76,na,-3.299347167,0.592768761
P1912,P1912.1,P1912.1.2,P1912.1,1,1.3,organisms,algae,,Chl.concentration.system,-1,UK,UK,Euro,Field,Lake,LakeField,Independent,Y,Dreissena.polymorpha,Dreissena,Myida,non.native,566500,na,na,5.04,na,na,na,na,na,10.5,12.9,7.69,na,na,na,na,550000000,na,na,1.89,na,Y,24,3.5,0.818,0.2361,24,5.95,1.333,0.3848,1912.1,1.476218473,0.130702182
P1932,P1932.1,P1932.1.3,P1932.1,1,1.3,organisms,algae,,Chl.concentration.system,-1,Sweden,Sweden,Euro,Field,Lake,LakeField,Independent,N,Dreissena.polymorpha,Dreissena,Myida,non.native,na,na,na,5.25,na,0.04,na,0.04,na,na,na,na,na,na,na,na,na,na,na,na,t.test,Y,1230,5.7,0.8,0.34,1568,27.07,31.1,11,1932.1,2.100632702,0.029222599
P399,P399.1,P399.1.1,P399.1,1,1.3,organisms,algae,,Phytoplankton.abundance.system,-1,Bulgaria,Bulgaria,Euro,Field,Lake,LakeField,Independent,Y,Dreissena.polymorpha,Dreissena,Myida,non.native,na,na,0.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,mann.whitney,Y,10,1005015.71,1214229.11,543019.766,8,0.088,0.02,0.01,399.1,1.006604943,0.257441084
P2227,P2227.5,P2227.5.1,P2227.2,1,1.3,organisms,algae,,Chl.concentration.system,-1,Poland,Poland,Euro,Meso,Lake,LakeMeso,Repeated,N,Dreissena.polymorpha,Dreissena,Myida,non.native,na,na,270,na,na,0.0225,na,0.074,na,9.5,18.7,na,na,na,250,na,200,0.66,332,1.5,anova,Y,3,0.283,0.0755,0.0436,3,0.1698,0.0189,0.0109,na,-1.645531249,0.652314424
P4898,P4898.1,na,P4898.1,1,1.3,organisms,algae,,Chl.concentration.system,-1,TheNetherlands,TheNetherlands,Euro,Meso,Lake,LakeMeso,Repeated,Y,Dreissena.bugensis,Dreissena,Myida,non.native,254.7,0.868,750,0.86,0.2,0.081,na,0.23,na,10,23.6,8.2,na,na,0.0559,na,392,na,na,2.26,anova,Y,4,2.4,0.6,0.3,4,81,16,8,na,6.036908203,2.655838125
P1559,P1559.1,P1559.1,P1559.1,1,1.3,organisms,algae,,Algae.filtration.rate.system,1,France,France,Euro,Meso,Lake,LakeMeso,Repeated,N,Dreissena.polymorpha,Dreissena,Myida,non.native,na,na,0.05,na,na,na,1.4,1.9,na,4.07284,22,7.2,na,na,na,na,20,15.8,na,2.9,kruskal.wallis,Y,8,23.4885,5.0793,1.7958,15,97.1001,17.5049,4.5197,na,-4.862839401,0.692131362
P3148,P3148.1,P3148.1.1,P3148.1,1,1.3,organisms,algae,,Phycoflora.density.FB,1,Poland,Poland,Euro,Meso,Lake,LakeMeso,Repeated,N,Unio.tumidus,Unio,Unionida,native,na,4,na,na,na,86.32,na,0.139,5.2,9.25,21.72,8.54,na,na,na,na,20,0.02,5,na,anova,Y,60,131.43,8.57,1.1064,2,5.08,1.3,0.9192,na,14.67822272,2.241279153
P1812,P1812.1,na,P1812.1,1,1.3,organisms,algae,,Algae.biomass.concentration.system,-1,Germany,Germany,Euro,Lab,na,Lab,Independent,N,Corbicula.fluminea,Corbicula,Venerida,non.native,na,na,0.3,na,na,na,3.388299074,0.77,na,na,15,na,na,na,na,na,na,na,na,1.6,anova,Y,48,0.95,0.8,0.3266,32,2.93,0.22,0.11,1812.1,0.093540774,0.158767371
P1812,P1812.13,na,P1812.2,1,1.3,organisms,algae,,Algae.biomass.concentration.system,-1,Germany,Germany,Euro,Lab,na,Lab,Independent,N,Dreissena.polymorpha,Dreissena,Myida,non.native,na,na,0.3,na,na,na,3.388299074,0.77,na,na,15,na,na,na,na,na,na,na,na,1.6,anova,Y,48,0.98,0.65,0.2654,32,2.55,0.33,0.165,1812.2,2.796745037,0.371533729
P1362,P1362.2,na,P1362.2,1,1.3,organisms,algae,,Algae.concentration.system,-1,Poland,Poland,Euro,Lab,na,Lab,Independent,N,Dreissena.polymorpha,Dreissena,Myida,non.native,na,na,300,na,na,na,na,na,na,na,na,na,na,na,25,na,200,0.66,332,1.5,na,na,3,0.008,0.0727,0.042,3,0.11,0.0866,0.05,na,1.020604169,0.513469406
P3997,P3997.3,P3997.2,P3997.2,1,1.3,organisms,algae,,Algae.content.system,-1,Portugal,Portugal,Euro,Lab,na,Lab,Repeated,N,Corbicula.fluminea,Corbicula,Venerida,non.native,na,na,1.5,na,0,na,na,na,na,9,20,4.49,na,na,na,na,10,6.7,na,2.4,na,na,3,9.0033,0.1595,0.0921,1,9.9,0,0,na,3.212539185,1.725425152
P4288,P4288.1,P4288.5,P4288.1,1,1.3,organisms,algae,,Cyanobacteria.concentration.rate.system,-1,Portugal,Portugal,Euro,Lab,na,Lab,Repeated,N,Corbicula.fluminea,Corbicula,Venerida,non.native,na,na,0.1,na,na,0.05,na,na,na,na,20,na,na,0.035,na,na,1,10,510,2.2,t.test,Y,40,248,22.3607,5,7,3.331,2.722,1.361,4288.1,-6.029685828,0.963561665
P1362,P1362.1,na,P1362.1,1,1.3,organisms,algae,,Cyanobacteria.concentration.system,-1,Poland,Poland,Euro,Lab,na,Lab,Independent,N,Dreissena.polymorpha,Dreissena,Myida,non.native,na,na,300,na,na,na,na,na,na,na,na,na,na,na,25,na,200,0.66,332,1.5,na,na,3,0.15,0.1905,0.11,3,0.01,0.0866,0.05,na,-0.756913916,0.47440989
P2842,P2842.1,P2842.2,P2842.1,1,1.3,organisms,algae,,Clearance.rate,1,Germany,Germany,Euro,Lab,na,Lab,Independent,Y,Unio.pictorum,Unio,Unionida,native,na,0.15,3,na,0.05,na,na,na,na,na,16,na,na,na,na,62.3,6,1.5,384,8.6,na,na,66,0.51,0.04,0.0049,3,12.9,8.39,4.844,na,-8.448197593,0.857886438
P4288,P4288.1,P4288.4,P4288.2,1,1.3,organisms,algae,,Cyanobacteria.removal.rate.system,1,Portugal,Portugal,Euro,Lab,na,Lab,Repeated,N,Corbicula.fluminea,Corbicula,Venerida,non.native,na,na,0.1,na,na,0.05,na,na,na,na,20,na,na,0.035,na,na,1,10,510,2.2,t.test,Y,40,223.3,58.1378,13,8,781.81,54.54,27.27,4288.2,-3.072055894,0.776356518
P3902,P3901.2,na,P3901.1,1,1.3,organisms,algae,,Cyanobacteria.removal.rate.system,1,UK,UK,Euro,Lab,na,Lab,Independent,N,Dreissena.polymorpha,Dreissena,Myida,non.native,na,na,0.25,na,na,na,na,0.0009783,na,na,19,na,na,na,na,na,3,12,na,3.5,glmm,Y,12,6,2.45,1,12,27.5,9.798,4,3901.1,-1.454101822,0.274544416
P1416,P1416.2,P1416.2.1,P1416.1,1,1.3,organisms,algae,,Ventilatory.flow.rate,1,France,France,Euro,Lab,na,Lab,Independent,Y,Corbicula.fluminea,Corbicula,Venerida,non.native,na,0.0025,0.0002,na,na,na,na,na,na,na,20,7,0.88,na,na,na,1,5,400,2.8,na,na,50,871,147.5805,66,50,427,169.9412,76,1416.1,0.672781139,0.155596944
P1415,P1415.1,P1415.1.1,P1415.1,1,1.3,organisms,algae,,Ventilatory.flow.rate.system,1,France,France,Euro,Lab,na,Lab,Repeated,Y,Corbicula.fluminea,Corbicula,Venerida,non.native,na,na,0.2,na,na,na,na,na,na,na,20,7,0.9,na,na,na,60,0.44,84,2.8,na,na,10,460,145.3444,65,10,426,64.846,29,1415.1,-0.572716263,0.236160256
P3918,P3918.4,na,P3918.1,1,1.3,organisms,algae,,Diatom.density.system,-1,Germany,Germany,Euro,Field,River,RiverField,Independent,Y,Unio.crassus,Unio,Unionida,native,na,na,na,na,na,na,na,na,na,9.75,14.9,7.6,na,na,na,na,1,na,100,na,t.test,Y,15,22,3,0.7746,15,27,4,1.0328,na,1.375991574,0.157779401
P1266,P1266.1,P1266.1.1,P1266.1,1,1.3,organisms,algae,,Chl.density.system,-1,UK,UK,Euro,Meso,WTP,WTPMeso,Independent,N,Dreissena.polymorpha,Dreissena,Myida,non.native,na,2.72,na,na,na,na,na,na,na,na,na,na,na,na,10000,na,na,na,na,1.55,anova,Y,15,5.1,0.4,0.1033,15,0.55,0.25,0.0645,na,-13.27278818,3.062338622
P2227,P2227.2,P2227.2.1,P2227.1,1,1.4,organisms,bacteria,,Bacteria.concentration.system,-1,Poland,Poland,Euro,Meso,Lake,LakeMeso,Repeated,N,Dreissena.polymorpha,Dreissena,Myida,non.native,na,na,270,na,na,0.0225,na,0.074,na,9.5,18.7,na,na,na,250,na,200,0.66,332,1.5,anova,N,3,0.1965,0.014,0.0081,3,0.1825,0.0421,0.0243,na,-0.357005773,0.43728776
P4278,P4278.1,na,P4278.1,1,1.4,organisms,bacteria,,Bacteria.concentration.system,-1,Italy,Italy,Euro,Meso,Lake,LakeMeso,Independent,N,Sinanodonta.woodiana,Sinanodonta,Unionida,non.native,na,na,1000,na,na,na,na,0.02,na,6.71,21.96,na,na,na,na,350,9,0.09,na,na,bootstrap,Y,12,1.48,2.67,1.5415,12,1.4388,1.6915,0.9766,4278.1,0.569342416,0.202730213
P3148,P3148.2,P3148.2.3,P3148.2,1,1.4,organisms,bacteria,,Protozoan.density.FB,1,Poland,Poland,Euro,Meso,Lake,LakeMeso,Independent,N,Unio.tumidus,Unio,Unionida,native,na,4,na,na,na,165.25,na,0.17,3.7,15.4,14.38,8.37,na,na,na,na,20,0.02,5,na,anova,Y,360,30.92,1.94,0.35,244,2.36,0.54,0.38,3148.2,7.323318743,0.469590914
P3940,P3940.1,P3940.1,P3940.1,1,1.4,organisms,bacteria,,Antibacterial.concentration.FB,1,Italy,Italy,Euro,Lab,na,Lab,Repeated,N,Dreissena.polymorpha,Dreissena,Myida,non.native,na,na,3,na,0,na,na,na,na,8.18,20,8,na,na,na,na,20,7,na,2,na,na,3,248,45,25.9808,6,127.7,15.3,6.2462,na,3.915688671,1.246873827
P1661,P1661.1,P1661.1.1,P1661.1,1,1.4,organisms,bacteria,,Bacteria.concentration.system,-1,Portugal,Portugal,Euro,Lab,na,Lab,Repeated,N,Corbicula.fluminea,Corbicula,Venerida,non.native,na,na,0.5,na,na,na,na,na,na,na,20,na,na,na,na,na,30,60,na,2.5,na,na,12,6396,432,216,12,10428,1320,660,1661.1,11.89717998,6.601909761
P3997,P3997.2,P3997.1,P3997.1,1,1.4,organisms,bacteria,,Bacteria.content.system,-1,Portugal,Portugal,Euro,Lab,na,Lab,Repeated,N,Corbicula.fluminea,Corbicula,Venerida,non.native,na,na,1.5,na,0,na,na,na,na,9,20,4.49,na,na,na,na,10,6.7,na,2.4,na,na,3,2.9933,0.9063,0.5233,1,7.4,0,0,na,2.778455573,1.400351071
P3135,P3135.2,P3135.2.1,P3135.2,1,1.4,organisms,bacteria,,Bacteria.formation.system,-1,Italy,Italy,Euro,Lab,na,Lab,Independent,N,Dreissena.polymorpha,Dreissena,Myida,non.native,na,na,0.3,na,0,na,na,na,na,na,23,na,na,na,na,na,10,33,na,2,anova,Y,5,25,8,3.5777,2,26.64,1.52,1.0748,na,0.192142876,0.499035955
P1674,P1674.1,P1674.1.1,P1674.1,1,1.4,organisms,bacteria,,Human.pathogen.concentration.system,-1,Finland,Finland,Euro,Lab,na,Lab,Repeated,Y,Anodonta.anatina,Anodonta,Unionida,native,na,na,2,na,na,na,na,na,na,na,15.5,na,na,na,na,na,na,na,na,8.5,na,na,21,1773,1985.9104,628,20,6520,1166.8805,369,1674.1,1.839226559,0.177153021
P2532,P2532.1,P2532.3,P2532.1,1,1.4,organisms,bacteria,,Human.pathogene.concentration.FB,1,France,France,Euro,Lab,na,Lab,Repeated,N,Dreissena.polymorpha,Dreissena,Myida,non.native,na,na,5,na,na,na,na,na,na,na,14,na,na,na,na,na,35,11.6,na,2.4,mann.whitney,Y,4,31.2,29.1,14.55,4,0,0,0,na,1.318495836,0.486723788
P2532,P2532.1,P2532.1,P2532.2,1,1.4,organisms,bacteria,,Human.pathogene.density.system,-1,France,France,Euro,Lab,na,Lab,Repeated,N,Dreissena.polymorpha,Dreissena,Myida,non.native,na,na,5,na,na,na,na,na,na,na,14,na,na,na,na,na,35,11.6,na,2.4,mann.whitney,Y,8,1.4,1.5,0.75,8,0,0,0,2532.2,-1.012360528,0.27700383
P3135,P3135.1,P3135.1.1,P3135.1,1,1.4,organisms,bacteria,,Poliovirus.accumulation.rate.FB,1,Italy,Italy,Euro,Lab,na,Lab,Independent,N,Dreissena.polymorpha,Dreissena,Myida,non.native,na,na,0.3,na,0,na,na,na,na,na,23,na,na,na,na,na,10,33,na,2,anova,Y,3,486,33,19.0526,2,3.44,0.2,0.1414,na,13.02495775,17.4057238
P3135,P3135.1,P3135.1.2,P3135.2,1,1.4,organisms,bacteria,,Rotavirus.occurrence.system,-1,Italy,Italy,Euro,Lab,na,Lab,Independent,N,Dreissena.polymorpha,Dreissena,Myida,non.native,na,na,0.3,na,0,na,na,na,na,na,23,na,na,na,na,na,10,33,na,2,anova,Y,3,1.88,0.5,0.2887,2,26.64,1.52,1.0748,na,18.60477838,35.05454922
P1982,P1982.1,na,P1982.1,1,1.5,organisms,invasive,,FB.density.system,-1,Germany,Germany,Euro,Meso,Lake,LakeMeso,Repeated,Y,Anodonta.cygnea,Anodonta,Unionida,native,na,0.028,na,0.5,na,na,na,0.05,na,na,13.5,na,na,na,na,na,15,na,na,0.7,mann.whitney,N,10,17.3,9.1,2.8777,10,17.2,1.77,0.5597,na,-0.014610348,0.183461
P3270,P3270.1,P3270.1.1,P3270.1,1,1.5,organisms,invasive,,Density.of.juvenile.Dreissena.polymorpha.system,-1,Germany,Germany,Euro,Meso,Lake,LakeMeso,Independent,Y,Dreissena.polymorpha,Dreissena,Myida,non.native,na,0.0121,na,2,na,na,na,na,na,na,na,na,na,na,na,na,101,na,8.388,na,anova,Y,18,7815,2880,960,81,40.99,3,0.3873,3270.1,-5.12945064,0.25098795
P2398,P2398.1,P2398.2,P2398.2,1,1.5,organisms,invasive,,Larvae.density.system,-1,Poland,Poland,Euro,Meso,Lake,LakeMeso,Independent,N,Dreissena.polymorpha,Dreissena,Myida,non.native,na,na,22.5,0.18,na,na,na,na,na,9.1,17.8,8.7,na,na,na,na,50,22.2,555,1.8,na,na,113,3.9459,2.093,0.2433,113,3.9324,2.7315,0.3175,2398.2,-3.595385726,0.114615088
P1017,P1017.1,P1017.1.1,P1017.1,2,2.1,human.inputs,human.inputs,mediation.wastes,Drug.concentration.FB,1,France,France,Euro,Meso,ConcreteTank,ConcreteTankMeso,Repeated,N,Dreissena.polymorpha,Dreissena,Myida,non.native,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,45,na,4.5,2.25,na,na,12,1.5,0.06,0.0346,12,0,0,0,1017.1,17.82923454,14.81032647
P1912,P1912.2,P1912.2.4,P1912.1,2,2.1,human.inputs,human.inputs,mediation.wastes,Ammonia.concentration.system,-1,UK,UK,Euro,Field,Lake,LakeField,Independent,Y,Dreissena.polymorpha,Dreissena,Myida,non.native,566500,na,na,5.04,na,na,na,na,na,10.5,12.9,7.69,na,na,na,na,550000000,na,na,1.89,na,Y,12,36.5,3.333,0.9622,12,26.6,3.704,1.0693,na,-2.712907216,0.308701123
P4403,P4403.1,P4403.1.1,P4403.1,2,2.1,human.inputs,human.inputs,mediation.wastes,Hg.concentration.FB,1,Spain,Spain,Euro,Field,Lake,LakeField,Independent,N,Dreissena.polymorpha,Dreissena,Myida,non.native,3200000,na,na,10,na,na,na,na,na,na,na,na,na,0.07,na,na,na,na,na,4.42,t.test,Y,50,8.2,2.6,0.8222,45,3.23,1.25,0.3467,4403.1,-2.251657473,0.36926844
P3592,P3592.1,P3592.1.5,P3592.1,2,2.1,human.inputs,human.inputs,mediation.wastes,PAH.concentration.FB,1,Italy,Italy,Euro,Field,Lake,LakeField,Independent,N,Dreissena.polymorpha,Dreissena,Myida,non.native,212500000,na,na,5,na,na,na,na,na,na,15.8,7.9,na,na,na,na,300,na,na,2.03,anova,Y,9,410.62,75.4655,43.57,12,88.1,45.6,22.8,3592.1,4.884681457,1.62768274
P4771,P4771.1,P4771.1.2,P4771.1,2,2.1,human.inputs,human.inputs,mediation.wastes,Cd.concentration.FB,1,Hungary,Hungary,Euro,Lab,na,Lab,Repeated,N,Anodonta.cygnea,Anodonta,Unionida,native,na,na,na,na,na,na,na,na,na,na,11,na,na,na,na,na,na,na,na,na,na,na,20,82.1,78.1083,24.7,18,4.8729,3.8136,1.2712,4771.1,0.626415585,0.134092776
P1884,P1884.1,P1884.1.1,P1884.1,2,2.1,human.inputs,human.inputs,mediation.wastes,Cd.concentration.FB,1,TheNetherlands,TheNetherlands,Euro,Lab,na,Lab,Repeated,N,Anodonta.cygnea,Anodonta,Unionida,native,na,na,85,na,na,na,na,0.16,na,10.5,11.5,7.9,na,na,na,na,70,na,na,12.5,na,na,4,58.1,17.7,8.85,4,0,0,0,na,4.036640038,1.396475758
P4308,P4308.2,P4308.2.1,P4308.2,2,2.1,human.inputs,human.inputs,mediation.wastes,U.concentration.FB,1,France,France,Euro,Lab,na,Lab,Repeated,Y,Corbicula.fluminea,Corbicula,Venerida,non.native,na,0.12,40,na,na,na,na,na,na,na,20,7.4,0.26,na,na,2.6,40,0.08,10,na,anova,Y,10,7,2,0.6325,100,34.4,0.4,0.04,na,-39.2732139,7.119316417
P550,P550.1,P550.1.1,P550.1,2,2.1,human.inputs,human.inputs,mediation.wastes,Ni.concentration.FB,1,France,France,Euro,Lab,na,Lab,Repeated,N,Dreissena.polymorpha,Dreissena,Myida,non.native,na,na,10,na,na,na,na,na,na,na,12.35,8.05,na,na,na,na,5,0.5,na,2.1,f.test,Y,5,1.23,0.25,0.1118,300,198,15,0.866,na,-13.17271607,0.486786901
P5080,P5080.2,na,P5080.1,2,2.1,human.inputs,human.inputs,mediation.wastes,Ammonia.concentration.system,-1,Poland,Poland,Euro,Lab,na,Lab,Independent,N,Dreissena.polymorpha,Dreissena,Myida,non.native,na,na,5,na,na,na,na,0.04,na,9,24,8.3,na,na,350,na,na,na,na,1.3,anova,Y,8,56,5,2.5,8,24,1,0.5,5080.1,-6.912455738,2.119123736
P551,P551.1,P551.1.1,P551.1,2,2.1,human.inputs,human.inputs,mediation.wastes,Cd.concentration.FB,1,France,France,Euro,Lab,na,Lab,Repeated,N,Dreissena.polymorpha,Dreissena,Myida,non.native,na,na,na,na,na,0,na,na,2.15,na,14.3,8.19,na,na,na,na,na,na,na,2.1,na,na,132,1.5792,0.324,0.0564,902,8,1,0.0577,551.1,-3.573546633,0.116525165
P4148,P4148.1,P4148.1.6,P4148.1,2,2.1,human.inputs,human.inputs,mediation.wastes,Arsenic.concentration.FB,1,Germany,Germany,Euro,Lab,na,Lab,Repeated,N,Dreissena.polymorpha,Dreissena,Myida,non.native,na,na,0.8,na,na,na,na,na,na,na,21,8.5,na,na,na,na,20,25,1200,1.8,t.test,Y,45,21,7.7,3.4435,125,77,8,2.0656,4148.1,-0.985915276,0.450010972
P790,P790.2,P790.2.3,P790.1,2,2.1,human.inputs,human.inputs,mediation.wastes,Relative.mRNA.abundance.values.of.AHR.in.gills,1,France,France,Euro,Lab,na,Lab,Repeated,N,Dreissena.polymorpha,Dreissena,Myida,non.native,na,na,12,na,na,na,na,na,na,na,16,na,na,na,na,na,20,1.6,na,2,anova,Y,48,0.059,0.1,0.0577,84,3.5837,3.4723,1.7361,790.1,-0.29850626,0.238476309
P1737,P1737.1,P1737.1.1,P1737.1,2,2.1,human.inputs,human.inputs,mediation.wastes,Microplastic.concentration.system,-1,Portugal,Portugal,Euro,Lab,na,Lab,Repeated,N,Corbicula.fluminea,Corbicula,Venerida,non.native,na,na,1,na,na,na,na,na,na,9,18,na,na,na,na,na,1,1,na,2.9,anova,Y,117,0.06,0.06,0.0055,24,0.05,0.04,0.0082,na,-0.173953965,0.049779597
P1162,P1162.1,P1162.1.3,P1162.1,2,2.1,human.inputs,human.inputs,mediation.wastes,Pollutant.concentration.FB,1,Portugal,Portugal,Euro,Lab,na,Lab,Independent,N,Corbicula.fluminea,Corbicula,Venerida,non.native,na,na,1.5,na,na,na,na,na,na,7.97,16.4,4.29,na,na,na,na,20,13.3,na,24,t.test,Y,12,11.425,4.299,2.482,12,3.054,0.905,0.5225,1162.1,0.287163411,0.235743742
P1415,P1415.2,P1415.2.1,P1415.1,2,2.1,human.inputs,human.inputs,mediation.wastes,Selenate.concentrations.FB,1,France,France,Euro,Lab,na,Lab,Repeated,Y,Corbicula.fluminea,Corbicula,Venerida,non.native,na,na,0.2,na,na,na,na,na,na,na,20,7,0.9,na,na,na,60,0.44,84,2.8,t.test,Y,10,0.91,1.051,0.47,10,0.44,0.2236,0.1,1415.1,0.67190314,0.218452134
P2953,P2953.1,P2953.1.1,P2953.1,2,2.1,human.inputs,human.inputs,mediation.wastes,Cd.concentration.FB,1,France,France,Euro,Lab,na,Lab,Repeated,Y,Dreissena.polymorpha,Dreissena,Myida,non.native,na,0.14,3,0.2,0.05,na,na,na,na,9.5,20,8.5,na,na,na,na,5,1.6,354,2.7,na,na,6,130,43.3013,25,5,99.0826,7.7847,5.5046,2953.1,1.190008758,0.362089878
P1899,P1899.1,na,P1899.1,2,2.1,human.inputs,human.inputs,mediation.wastes,Cd.concentration.FB,1,TheNetherlands,TheNetherlands,Euro,Lab,na,Lab,Independent,N,Dreissena.polymorpha,Dreissena,Myida,non.native,na,na,80,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2.4,t.test,Y,5,553,368.9512,165,5,25,0,0,na,1.828000586,0.49340605
P4145,P4145.1,P4145.1.3,P4145.1,2,2.1,human.inputs,human.inputs,mediation.wastes,Pollutant.concentration.FB,1,Germany,Germany,Euro,Lab,na,Lab,Repeated,N,Dreissena.polymorpha,Dreissena,Myida,non.native,na,na,1,na,na,na,na,na,na,6.81,17.8,7.6,0.76,na,na,na,7,7,na,1.8,anova,N,48,17,9,2.25,39,7.66,0.16,0.1131,4145.1,2.640119278,0.224658653
P4145,P4145.2,P4145.2.4,P4145.2,2,2.1,human.inputs,human.inputs,mediation.wastes,Pesticide.concentration.FB,1,Germany,Germany,Euro,Lab,na,Lab,Repeated,N,Dreissena.bugensis,Dreissena,Myida,non.native,na,na,1,na,na,na,na,na,na,6.92,17.7,7.6,0.84,na,na,na,7,7,na,1.8,anova,N,42,22,7,1.8708,4,14.06,1.33,0.9405,4145.2,2.734401188,0.539491875
P1416,P1416.1,P1416.1.5,P1416.1,2,2.1,human.inputs,human.inputs,mediation.wastes,Selenate.concentrations.FB,1,France,France,Euro,Lab,na,Lab,Independent,Y,Corbicula.fluminea,Corbicula,Venerida,non.native,na,0.25,0,na,na,na,na,na,na,na,20,7,0.88,na,na,na,1,5,400,2.8,na,na,60,2.56,0.8944,0.4,60,0.35,0.0447,0.02,1416.1,2.735594496,0.223596011
P873,P873.2,P873.2.1,P873.1,2,2.1,human.inputs,human.inputs,mediation.wastes,Cd.concentration.FB,1,France,France,Euro,Lab,na,Lab,Independent,N,Corbicula.fluminea,Corbicula,Venerida,non.native,na,na,2.5,0.17,0.05,na,na,na,na,8.4,24,8.72,0.38,0.06,na,na,3,1.2,500,2.5,scheffe,Y,16,1629,82,47.3427,16,857,43,24.8261,873.1,4.970687714,1.387971241
P1530,P1530.1,P1530.1.2,P1530.1,2,2.1,human.inputs,human.inputs,mediation.wastes,Nanoparticules.concentration.system,-1,France,France,Euro,Lab,na,Lab,Repeated,N,Dreissena.polymorpha,Dreissena,Myida,non.native,na,0.15,90,na,na,na,na,na,na,na,17.5,na,na,na,na,na,60,0.93,400,2.25,tukey,Y,6,37,4,2.3094,6,96,12,6.9282,1530.1,4.986847982,1.564842463
P3487,P3487.1,P3487.1.1,P3487.1,2,2.1,human.inputs,human.inputs,mediation.wastes,Hg.concentration.system,-1,Portugal,Portugal,Euro,Lab,na,Lab,Repeated,N,Corbicula.fluminea,Corbicula,Venerida,non.native,na,na,16,na,na,na,na,na,na,8.4,16,na,na,na,na,na,1,0.4,na,2.7,tukey,Y,6,1.8,0.4,0.2309,6,9,1.0046,0.58,3487.1,6.740536599,2.654048622
P1140,P1140,na,P1140,2,2.1,human.inputs,human.inputs,mediation.wastes,As.concentration.FB,1,Portugal,Portugal,Euro,Lab,na,Lab,Repeated,Y,Corbicula.fluminea,Corbicula,Venerida,non.native,na,na,20,na,na,na,na,na,na,na,20,7,1.6,na,na,na,10,0.5,na,1.9,na,na,10,145,26,8.2219,10,0.7,0.1,0.1195,na,7.517186631,1.596158035
P5604,P5604.1,P5604.1.1,P5604.1,2,2.1,human.inputs,human.inputs,mediation.wastes,Drug.concentration.FB,1,Germany,Germany,Euro,Lab,na,Lab,Independent,N,Corbicula.fluminea,Corbicula,Venerida,non.native,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2.25,4,na,na,1.9,na,na,4,12.5,2,1,5,0,0.01,0.0045,na,8.486109853,4.356336691
P4309,P4309.1,P4309.1.2,P4309.1,2,2.1,human.inputs,human.inputs,mediation.wastes,U.concentration.FB,1,France,France,Euro,Lab,na,Lab,Repeated,Y,Corbicula.fluminea,Corbicula,Venerida,non.native,na,0.12,108,na,na,na,na,na,na,na,20,7,0.3,na,na,na,150,1.38,375,na,t.test,Y,10,34,5,2.2361,105,0,0,0,4309.1,9.969255143,1.454881865
P4148,P4148.3,P4148.3.3,P4148.2,2,2.1,human.inputs,human.inputs,mediation.wastes,P.concentration.system,-1,Germany,Germany,Euro,Lab,na,Lab,Repeated,N,Dreissena.polymorpha,Dreissena,Myida,non.native,na,na,0.8,na,na,na,na,na,na,na,21,8.5,na,na,na,na,20,25,1200,1.8,anova,Y,45,591.3043,156.5217,69.9986,45,5.6,0.7,0.313,4148.2,13.93834835,15.18268046
